"s","a","r","sp"
98976,0,-1,93792
93792,0,-1,98976
98976,0,-1,98976
98976,0,-1,93792
93792,0,-1,98976
98976,0,-1,104160
104160,0,-1,98976
98976,0,-1,98976
98976,0,-1,98976
98976,0,-1,98976
98976,0,-1,140448
140448,0,-1,57504
57504,0,-1,98975
98975,0,-1,93791
93791,0,-1,98975
98975,0,-1,98975
98975,0,-1,62687
62687,0,-1,98975
98975,0,-1,135263
135263,0,-1,98975
98975,0,-1,62687
62687,0,-1,16031
16031,0,-1,16031
16031,0,-1,57503
57503,0,-1,57503
57503,0,-1,21215
21215,0,-1,21215
21215,0,-1,21215
21215,0,-1,62686
62686,0,-1,62686
62686,0,-1,21214
21214,0,-1,21214
21214,0,-1,21214
21214,1,-10000,640
640,0,-1,36928
36928,0,-1,73216
73216,0,-1,73216
73216,0,-1,22105
22105,0,-1,22105
22105,0,-1,16921
16921,0,-1,27289
27289,0,-1,22105
22105,0,-1,27289
27289,0,-1,22105
22105,0,-1,22105
22105,0,-1,32473
32473,0,-1,32473
32473,0,-1,37657
37657,0,-1,32473
32473,0,-1,32473
32473,0,-1,32473
32473,0,-1,32473
32473,0,-1,98814
98814,0,-1,93630
93630,0,-1,98814
98814,0,-1,98814
98814,0,-1,93630
93630,0,-1,93630
93630,0,-1,98814
98814,0,-1,98814
98814,0,-1,93630
93630,0,-1,98814
98814,0,-1,98813
98813,0,-1,93629
93629,0,-1,98813
98813,0,-1,57341
57341,0,-1,52157
52157,0,-1,98813
98813,0,-1,93629
93629,0,-1,98813
98813,0,-1,21053
21053,0,-1,21053
21053,0,-1,15869
15869,0,-1,57341
57341,0,-1,21053
21053,0,-1,15869
15869,0,-1,21053
21053,0,-1,57341
57341,0,-1,62524
62524,1,-10000,803
5987,0,-1,136073
136073,0,-1,177545
177545,0,-1,177545
177545,0,-1,141257
141257,0,-1,177545
177545,0,-1,141257
141257,0,-1,291593
291593,0,-1,255305
255305,0,-1,255305
255305,0,-1,255305
255305,0,-1,255296
255296,0,-1,255296
255296,0,-1,255296
255296,0,-1,255287
255287,0,-1,255287
255287,0,-1,255286
255286,0,-1,213805
213805,0,-1,255277
255277,0,-1,255277
255277,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
254611,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254593
254593,0,-1,254593
254593,0,-1,249409
249409,0,-1,254593
254593,0,-1,290872
290872,0,-1,254584
254584,0,-1,290872
290872,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,290872
290872,1,-156,1289
